Station Name,Station Location,Latitude,Longitude,Total_Exits
14th St,"(40.738228, -73.996209)",40.738228, -73.996209,4455388.0
2nd Av,"(40.723402, -73.989938)",40.723402, -73.989938,1493766.0
Broadway-Lafayette St,"(40.725297, -73.996204)",40.725297, -73.996204,2471168.0
Delancey St,"(40.718611, -73.988114)",40.718611, -73.988114,1723831.0
West 4th St,"(40.732338, -74.000495)",40.732338, -74.000495,3372397.0
West 8th St,"(40.576127, -73.975939)",40.576127, -73.975939,1086853.0
Prince St,"(40.724329, -73.997702)",40.724329, -73.997702,1337013.0
Christopher St,"(40.733422, -74.002906)",40.733422, -74.002906,1198269.0
Houston St,"(40.728251, -74.005367)",40.728251, -74.005367,809383.0
1st Av,"(40.730953, -73.981628)",40.730953, -73.981628,2224543.0
3rd Av,"(40.732849, -73.986122)",40.732849, -73.986122,666111.0
8th Av,"(40.739777, -74.002578)",40.739777, -74.002578,2371595.0
14th St-Union Square,"(40.734673, -73.989951)",40.734673, -73.989951,8126553.0
Astor Place,"(40.730054, -73.99107)",40.730054, -73.99107,1498626.0
Bleecker St,"(40.725915, -73.994659)",40.725915, -73.994659,533771.0
Bowery,"(40.72028, -73.993915)",40.72028, -73.993915,291214.0
